"PRIMARY TITLE","MLC SONG CODE","MEMBERS SONG ID","ISWC","AKA TITLE","AKA TITLE TYPE CODE","WRITER LAST NAME","WRITER FIRST NAME","WRITER IPI NUMBER","WRITER ROLE CODE","MLC PUBLISHER NUMBER","PUBLISHER NAME","PUBLISHER IPI NUMBER","ADMINISTRATOR MLC PUBLISHER NUMBER","ADMINISTRATOR NAME","COLLECTION SHARE","RECORDING TITLE","RECORDING ARTIST NAME","RECORDING ISRC","RECORDING LABEL"
"Big Body","","DSR-LAB-117","","","","Rice","Alfred","","CA","","LAB10 Publishing","1262829440","","","100","Big Body","BOU$HY, Eazley","QZ5FN2216262","DirtySnatcha Records"
"Bad Vibes","","DSR-LAB-118","","","","Annear","Bailey Robert","","CA","","LAB10 Publishing","1262829440","","","100","Bad Vibes","Brakkit, Dassim","QZ5FN2303913","DirtySnatcha Records"
"Bad Vibes","","DSR-LAB-118","","","","Daskal","Jack","","CA","","LAB10 Publishing","1262829440","","","100","Bad Vibes","Brakkit, Dassim","QZ5FN2303913","DirtySnatcha Records"
"As I Am","","DSR-LAB-119","","","","Caabay","Micahel Jared","","CA","","LAB10 Publishing","1262829440","","","100","As I Am","Cabuizee, Raddix","GBRKQ2234993","DirtySnatcha Records"
"As I Am","","DSR-LAB-119","","","","Martin","Joshua Lloyd","","CA","","LAB10 Publishing","1262829440","","","100","As I Am","Cabuizee, Raddix","GBRKQ2234993","DirtySnatcha Records"
"As I Am","","DSR-LAB-120","","","","Caabay","Micahel Jared","","CA","","LAB10 Publishing","1262829440","","","100","As I Am","Cabuizee, Raddix","GBRKQ2245754","DirtySnatcha Records"
"As I Am","","DSR-LAB-120","","","","Martin","Joshua Lloyd","","CA","","LAB10 Publishing","1262829440","","","100","As I Am","Cabuizee, Raddix","GBRKQ2245754","DirtySnatcha Records"
"Telekinese","","DSR-LAB-121","","","","Kairies","Jannik","","CA","","LAB10 Publishing","1262829440","","","100","Telekinese","CHACKK, Kamas","USLZJ2292920","DirtySnatcha Records"
"Telekinese","","DSR-LAB-121","","","","Rolfe","Henry","","CA","","LAB10 Publishing","1262829440","","","100","Telekinese","CHACKK, Kamas","USLZJ2292920","DirtySnatcha Records"
"Do It","","DSR-LAB-122","","","","Johnson","Carson Reid","","CA","","LAB10 Publishing","1262829440","","","100","Do It","Champagne Poppers","QZ5FN2002317","DirtySnatcha Records"
"Red Sky","","DSR-LAB-123","","","","Johnson","Carson Reid","","CA","","LAB10 Publishing","1262829440","","","100","Red Sky","Champagne Poppers","GBRKQ2120796","DirtySnatcha Records"
"Run It Up","","DSR-LAB-124","","","","Legris","Christopher","","CA","","LAB10 Publishing","1262829440","","","100","Run It Up","CHRMNDRS, Future Exit","GBWUL2081365","DirtySnatcha Records"
"Run It Up","","DSR-LAB-124","","","","Kourie","William","","CA","","LAB10 Publishing","1262829440","","","100","Run It Up","CHRMNDRS, Future Exit","GBWUL2081365","DirtySnatcha Records"
"Giving Up VIP","","DSR-LAB-125","","","","Legris","Christopher","","CA","","LAB10 Publishing","1262829440","","","100","Giving Up VIP","CHRMNDRS, SEEING\\DOUBLE","GBWUL2158623","DirtySnatcha Records"
"Giving Up VIP","","DSR-LAB-125","","","","Karzis","Panagiotis","","CA","","LAB10 Publishing","1262829440","","","100","Giving Up VIP","CHRMNDRS, SEEING\\DOUBLE","GBWUL2158623","DirtySnatcha Records"
"WDGAF","","DSR-LAB-126","","","","Maynard","Colton","","CA","","LAB10 Publishing","1262829440","","","100","WDGAF","CRiiOZ","QZWDE2357423","DirtySnatcha Records"
"In The Walls","","DSR-LAB-127","","","","Maynard","Colton","","CA","","LAB10 Publishing","1262829440","","","100","In The Walls","CRiiOZ","USLZJ2405562","DirtySnatcha Records"
"Watch Out","","DSR-LAB-128","","","","Maynard","Colton","","CA","","LAB10 Publishing","1262829440","","","100","Watch Out","CRiiOZ","USLZJ2405588","DirtySnatcha Records"
"Trust","","DSR-LAB-129","","","","Maynard","Colton","","CA","","LAB10 Publishing","1262829440","","","100","Trust","CRiiOZ","USLZJ2405591","DirtySnatcha Records"
"Let Go","","DSR-LAB-130","","","","Maynard","Colton","","CA","","LAB10 Publishing","1262829440","","","100","Let Go","CRiiOZ","USLZJ2405592","DirtySnatcha Records"
"Psycho","","DSR-LAB-131","","","","Maynard","Colton","","CA","","LAB10 Publishing","1262829440","","","100","Psycho","CRiiOZ, DSTRTN","USLZJ2405590","DirtySnatcha Records"
"Psycho","","DSR-LAB-131","","","","Turcotte","Bryden","","CA","","LAB10 Publishing","1262829440","","","100","Psycho","CRiiOZ, DSTRTN","USLZJ2405590","DirtySnatcha Records"
"Riptide","","DSR-LAB-132","","","","Vance","David Austin","","CA","","LAB10 Publishing","1262829440","","","100","Riptide","David Vance, Blue","GBRKQ2211179","DirtySnatcha Records"
"Riptide","","DSR-LAB-132","","","","Harris","Christopher Michael","","CA","","LAB10 Publishing","1262829440","","","100","Riptide","David Vance, Blue","GBRKQ2211179","DirtySnatcha Records"
"Riddim Whistle","","DSR-LAB-133","","","","Kouri","Denny","","CA","","LAB10 Publishing","1262829440","","","100","Riddim Whistle","DENNETT","GBRKQ2204623","DirtySnatcha Records"
"Keep Moving (Aelius,  Voyager,  Wilco Beats Remix)","","DSR-LAB-134","","","","Bray","Leigh","01017500116","CA","","LAB10 Publishing","1262829440","","","100","Keep Moving (Aelius,  Voyager,  Wilco Beats Remix)","DirtySnatcha","QZWDD2263373","DirtySnatcha Records"
"Keep Moving (Audigy Remix)","","DSR-LAB-135","","","","Bray","Leigh","01017500116","CA","","LAB10 Publishing","1262829440","","","100","Keep Moving (Audigy Remix)","DirtySnatcha","QZWV32320452","DirtySnatcha Records"
"Need U (Dobadlyy Remix)","","DSR-LAB-136","","","","Bray","Leigh","01017500116","CA","","LAB10 Publishing","1262829440","","","100","Need U (Dobadlyy Remix)","DirtySnatcha, Autokorekt","QZ5FN2114150","DirtySnatcha Records"
"Need U (Dobadlyy Remix)","","DSR-LAB-136","","","","Autolino","Anthony","","CA","","LAB10 Publishing","1262829440","","","100","Need U (Dobadlyy Remix)","DirtySnatcha, Autokorekt","QZ5FN2114150","DirtySnatcha Records"
"Need U (Ennaut Remix)","","DSR-LAB-137","","","","Bray","Leigh","01017500116","CA","","LAB10 Publishing","1262829440","","","100","Need U (Ennaut Remix)","DirtySnatcha, Autokorekt","QZWDD2263341","DirtySnatcha Records"
"Need U (Ennaut Remix)","","DSR-LAB-137","","","","Autolino","Anthony","","CA","","LAB10 Publishing","1262829440","","","100","Need U (Ennaut Remix)","DirtySnatcha, Autokorekt","QZWDD2263341","DirtySnatcha Records"
"Westside Rollin (CHRMNDRS Remix)","","DSR-LAB-138","","","","Bray","Leigh","01017500116","CA","","LAB10 Publishing","1262829440","","","100","Westside Rollin (CHRMNDRS Remix)","DirtySnatcha","GBWUL1920889","DirtySnatcha Records"
"GO MAD","","DSR-LAB-140","","","","Turcotte","Neil Brydon","","CA","","LAB10 Publishing","1262829440","","","100","GO MAD","DSTRTN, CRiiOZ","USLZJ2297741","DirtySnatcha Records"
"GO MAD","","DSR-LAB-140","","","","Maynard","Colton Daniel","","CA","","LAB10 Publishing","1262829440","","","100","GO MAD","DSTRTN, CRiiOZ","USLZJ2297741","DirtySnatcha Records"
"Loose It","","DSR-LAB-141","","","","Autolino","Anthony","","CA","","LAB10 Publishing","1262829440","","","100","Loose It","Eazley, Autokorekt","QZ5FN2097747","DirtySnatcha Records"
"Loose It","","DSR-LAB-141","","","","Rico","Alfred Mcgrew","","CA","","LAB10 Publishing","1262829440","","","100","Loose It","Eazley, Autokorekt","QZ5FN2097747","DirtySnatcha Records"
"Loose It (BOU$HY Remix)","","DSR-LAB-142","","","","Rice","Alfred Mcgrew","","CA","","LAB10 Publishing","1262829440","","","100","Loose It (BOU$HY Remix)","Eazley, Autokorekt","GBRKQ2109631","DirtySnatcha Records"
"Loose It (BOU$HY Remix)","","DSR-LAB-142","","","","Autolino","Anthony","","CA","","LAB10 Publishing","1262829440","","","100","Loose It (BOU$HY Remix)","Eazley, Autokorekt","GBRKQ2109631","DirtySnatcha Records"
"Always Got Me","","DSR-LAB-143","","","","Moss","Jason","","CA","","LAB10 Publishing","1262829440","","","100","Always Got Me","Ennaut","QZ5FN2248162","DirtySnatcha Records"
"Terror","","DSR-LAB-144","","","","Moss","Jason","","CA","","LAB10 Publishing","1262829440","","","100","Terror","Ennaut","USLZJ2296710","DirtySnatcha Records"
"Boss","","DSR-LAB-145","","","","Bush","Branden","","CA","","LAB10 Publishing","1262829440","","","100","Boss","Entravert","GBWUL2192869","DirtySnatcha Records"
"Bluntz","","DSR-LAB-146","","","","BARTAKE","JAMES DANIEL","","CA","","LAB10 Publishing","1262829440","","","100","Bluntz","Flatland Funk, Blupill","GBRKQ2041356","DirtySnatcha Records"
"Bluntz","","DSR-LAB-146","","","","Anderson","Jared","","CA","","LAB10 Publishing","1262829440","","","100","Bluntz","Flatland Funk, Blupill","GBRKQ2041356","DirtySnatcha Records"
"SLACKA","","DSR-LAB-147","","","","Richardson","Nakeem","","CA","","LAB10 Publishing","1262829440","","","100","SLACKA","Geeku","QZZEB2351140","DirtySnatcha Records"
"Take A Trip (DirtySnatcha Remix)","","DSR-LAB-148","","","","Gruden","Michael","","CA","","LAB10 Publishing","1262829440","","","100","Take A Trip (DirtySnatcha Remix)","HEXED, Labs","QZ5FN2303924","DirtySnatcha Records"
"Take A Trip (DirtySnatcha Remix)","","DSR-LAB-148","","","","Mathews","Jeff","","CA","","LAB10 Publishing","1262829440","","","100","Take A Trip (DirtySnatcha Remix)","HEXED, Labs","QZ5FN2303924","DirtySnatcha Records"
"Take A Trip (DirtySnatcha Remix)","","DSR-LAB-148","","","","Bray","Leigh","01017500116","CA","","LAB10 Publishing","1262829440","","","100","Take A Trip (DirtySnatcha Remix)","HEXED, Labs","QZ5FN2303924","DirtySnatcha Records"
"The Devil","","DSR-LAB-149","","","","Young","Riley","","CA","","LAB10 Publishing","1262829440","","","100","The Devil","Hostyle","QZ5FN2170385","DirtySnatcha Records"
"FVCK","","DSR-LAB-150","","","","Rigdon","Forrest T.","","CA","","LAB10 Publishing","1262829440","","","100","FVCK","Hurting Murphy","USLZJ2376873","DirtySnatcha Records"
