"Reporting Period",Label,"Release Name","Release Version","Release Artists","UPC Code",Catalogue,"Track Title","Mix Version","ISRC Code","Track Artists","Digital Service Provider","Activity Period",Territory,Delivery,"Content Type","Sale or Void",Count,"Royalty ($US)"
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"Let Go",,USLZJ2405592,CRiiOZ,Spotify,"August 2024",MEX,Streaming,Single,Sale,1,0.000862000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci","Apple DJ Mixes","August 2024",GBR,Streaming,Single,Sale,1,0.000865000000
AUG-24,"DirtySnatcha Records","Operator Error",,"Big City",198342036334,DSR125,"Weed Spot",,USLZJ2403314,"Big City",Spotify,"August 2024",PHL,Streaming,Single,Sale,1,0.000872000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",GTM,Streaming,Single,Sale,1,0.000874000000
AUG-24,"DirtySnatcha Records","GO MAD",,"DSTRTN, CRiiOZ",198342500286,DSR0056A,"GO MAD",,USLZJ2297741,"DSTRTN, CRiiOZ",Spotify,"August 2024",EGY,Streaming,Single,Sale,2,0.000880000000
AUG-24,"DirtySnatcha Records","Eight Six",,BBX,198342480014,DSR0092A,"Eight Six",,QZTV32366095,BBX,Snap,"August 2024",TUR,Streaming,"User Generated Content",Sale,2,0.000881000000
AUG-24,"DirtySnatcha Records","Wasting Time With You",,Ennaut,198342816899,DSR135,"Wasting Time With You",,QZTV32404283,Ennaut,NetEase,"July 2024",CHN,Streaming,Single,Sale,6,0.000899000000
AUG-24,"DirtySnatcha Records",Dimension,,"In Orbit Dubz, Nein Lives",198342496138,DSR0051A,Dimension,,QZ5FN2266737,"In Orbit Dubz, Nein Lives",Spotify,"August 2024",BRA,Streaming,Single,Sale,1,0.000900000000
AUG-24,"DirtySnatcha Records","Black & Gold",,BBX,198342479988,DSR0093A,"Black & Gold",,QZTV32366677,BBX,Spotify,"August 2024",BRA,Streaming,Single,Sale,1,0.000900000000
AUG-24,"DirtySnatcha Records",Hypnotize,,"In Orbit Dubz",197999477019,DSR113,Hypnotize,,QZZ8B2327916,"In Orbit Dubz",Spotify,"August 2024",BRA,Streaming,Single,Sale,1,0.000900000000
AUG-24,"DirtySnatcha Records",Apparition,,CVLVALRI,198342507926,DSR0063A,Apparition,,GBRKQ2204805,CVLVALRI,Spotify,"August 2024",BRA,Streaming,Single,Sale,1,0.000900000000
AUG-24,"DirtySnatcha Records","Loose It",,"Eazley, Autokorekt",198342478653,DSR0023A,"Loose It",,QZ5FN2097747,"Eazley, Autokorekt",Spotify,"August 2024",BRA,Streaming,Single,Sale,1,0.000900000000
AUG-24,"DirtySnatcha Records",Riptide,,"David Vance, Blue",198342508046,DSR0064A,Riptide,,GBRKQ2211179,"David Vance, Blue",Spotify,"August 2024",BRA,Streaming,Single,Sale,1,0.000900000000
AUG-24,"DirtySnatcha Records",WTF,,"BBX, Sloth",198342356135,DSR131,WTF,,GBRKQ2471312,"BBX, Sloth",Spotify,"August 2024",ECU,Streaming,Single,Sale,1,0.000904000000
AUG-24,"DirtySnatcha Records","Black & Gold",,BBX,198342479889,DSR0096A,"Eight Six",,QZTV32366095,BBX,Spotify,"August 2024",ECU,Streaming,Single,Sale,1,0.000904000000
AUG-24,"DirtySnatcha Records","GO MAD",,"DSTRTN, CRiiOZ",198342500286,DSR0056A,"GO MAD",,USLZJ2297741,"DSTRTN, CRiiOZ",Spotify,"August 2024",ECU,Streaming,Single,Sale,1,0.000904000000
AUG-24,"DirtySnatcha Records",WTF,,"BBX, Sloth",198342356135,DSR131,WTF,,GBRKQ2471312,"BBX, Sloth",Spotify,"August 2024",PHL,Streaming,Single,Sale,21,0.000906000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",CHL,Streaming,Single,Sale,13,0.000908000000
AUG-24,"DirtySnatcha Records","Eight Six",,BBX,198342480014,DSR0092A,"Eight Six",,QZTV32366095,BBX,Spotify,"August 2024",DEU,Streaming,Single,Sale,1,0.000910000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci","Amazon Ad Supported","August 2024",DEU,Streaming,Single,Sale,1,0.000910000000
